fname,iou_score_otsu,dice_score_otsu,iou_score_niblack,dice_score_niblack
1903705007.bmp,0.04092555057049808,0.00030836471463393915,0.015342451718661955,0.0001185146493702549
1903711002.bmp,0.05656212636806769,0.0004198754710797968,0.01968652440149916,0.00015142311804459851
1100210637.bmp,0.0014318370217789947,1.1214037614243009e-05,0.00043441148675426027,3.4056694537888743e-06
1903311005.bmp,0.04799675673770116,0.0003592044998839148,0.02435659278229661,0.00018648984308719746
503311001.bmp,0.03367579908675799,0.00025551910438388495,0.01574987069756578,0.00012161300846943136
1905012030.bmp,0.005256463017696136,4.101158504303115e-05,0.0027295863850950986,2.1350243333889883e-05
1912412005.bmp,0.008253811560820445,6.42058340919114e-05,0.0025457774770584005,1.9916180010507274e-05
1901212002.bmp,0.0420233920420038,0.00031630310242469555,0.021652677959863826,0.00016622569375976737
1903310032.bmp,0.017365230709493713,0.0001338731497857614,0.0063949793454083255,4.983798784541247e-05
1903711038.bmp,0.03272086584445004,0.00024850300832007186,0.012619521428918118,9.774316667183577e-05
1903709109.bmp,0.04299578897905333,0.00032332045623655807,0.02125034642445265,0.00016320129956844687
1903709092.bmp,0.05619668840943302,0.0004173070653439523,0.02319713054919702,0.00017781351548511174
1903310028.bmp,0.00861703315102132,6.700717072203264e-05,0.0029409971961477507,2.299900466742754e-05
1100212021.bmp,0.01222839616817032,9.475034480097991e-05,0.005001710682806824,3.9033867283579775e-05
1901206003.bmp,0.007592217366892073,5.9098117126387306e-05,0.0030618372992822895,2.3941106417833123e-05
1903309056.bmp,0.03219578672420646,0.0002446396096121362,0.014767419651693783,0.00011413738457303408
1100212008.bmp,0.003263511167688925,2.551290437274896e-05,0.0011114964999684681,8.707940761917025e-06
1901208015.bmp,0.008590482649485701,6.680246905441544e-05,0.0030439266653983638,2.3801484656752642e-05
1903709113.bmp,0.053500177959275426,0.0003983001120219065,0.025068684332950047,0.00019180873928568371
1903711047.bmp,0.041870485810655694,0.0003151984547166438,0.021055903379068423,0.00016173878401903484
1903310005.bmp,0.020197075786919785,0.0001552723893295636,0.007683685569941032,5.980468019036348e-05
